,text,author_name,created_at
98,@FTPiHole @SlightlyAnn0yed @smorant144 @yungdubs @d1rtydan I don't understand any of that. I have a Samsung Galaxy… https://t.co/TCWftapcRQ,Fan of JJ @nas29carfan,2020-08-01 23:50:05
99,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",Moyinoluwa Oyelohunnu,2020-08-01 23:49:59
0,"RT @blakehills27659: ⭐️⭐️⭐️⭐️⭐️I love this!
Get a powerful anti-peep magnetic phone case before suitable for your latest Samsung and iPhone…",C,2020-08-01 23:49:54
1,"RT @jiminscloset1: 200801 | SamsungMobileUS Twitter update with Jimin

- Samsung Galaxy Z Flip, Acne Studios and Fear of God 

#JIMIN #지민 #…",(•᷄ɞ•᷅)₁₃,2020-08-01 23:49:51
2,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",ITweetFact,2020-08-01 23:49:49
3,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",Onye Nkuzi,2020-08-01 23:49:46
4,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,💜FictionLover⁷💜,2020-08-01 23:49:32
5,@kaesangp I've signed up at https://t.co/UOC3MRwqWq to get a Powerful yet Playful change in the Next Galaxy. Now it… https://t.co/C0nyHfYXxq,·₊̣̇.Lara🦋 | hhhiat,2020-08-01 23:49:26
6,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",Silver General,2020-08-01 23:49:24
7,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,multifandom,2020-08-01 23:49:21
8,RT @Taedagudboy: @kimvanadium I remember yoongi’s vlive when he was annoyed at Apple Music because of his AGUSTD picture got leaked and tol…,‧͙⁺˚*･༓☾ khai⁷,2020-08-01 23:49:20
9,RT @u4eakooks_net: yoongi's samsung phone is the only one not blurred 😆😆😆 https://t.co/x6xGop8uPX,UGH⁷,2020-08-01 23:49:16
10,RT @dentcoin: #Samsung #Blockchain Wallet payments for eSIM is now enabled - a #DENT #Roadmap item for Q3 2020 released! 📱Get DENT apps for…,☀Natasha Romanoff ☀,2020-08-01 23:49:13
11,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,TavushStrong⁷･◡･,2020-08-01 23:49:01
12,RT @u4eakooks_net: yoongi's samsung phone is the only one not blurred 😆😆😆 https://t.co/x6xGop8uPX,𝙼𝚒𝚗𝙼𝚒𝚗; 𝗪𝗶𝘁𝗵 𝗕𝗧𝗦💜🇲🇽,2020-08-01 23:49:00
13,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",{{{{{{{&}}}}}}},2020-08-01 23:48:56
14,@fullsunpallet Samsung A70,theo morreu,2020-08-01 23:48:52
15,"@Marcelle_P_ No ohhh, you must use your Samsung like that oh",Prom Prom 🥰,2020-08-01 23:48:52
16,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,히카리⁷🧨🐋💜,2020-08-01 23:48:47
17,RT @u4eakooks_net: yoongi's samsung phone is the only one not blurred 😆😆😆 https://t.co/x6xGop8uPX,vivien ⁷,2020-08-01 23:48:37
18,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",Maruito Fran,2020-08-01 23:48:29
19,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",Scott Steadman Lucas,2020-08-01 23:48:24
20,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",𝓛𝓐𝓛𝓘𝓣 𝓚𝓤𝓜𝓐𝓡,2020-08-01 23:48:20
21,"Gear S3 Frontier / Galaxy Watch (46mm) Bands with Quick Release Pins, 22mm Genuine Leather Replacement Smart Watch… https://t.co/eufV9MsHiL",Alisha Boehm,2020-08-01 23:48:14
22,RT @CatsTalkBack1: Another blow to our greatest enemy...CHINA!!!  Samsung closing its last factory in China!!!  Another win for the United…,Hahndo,2020-08-01 23:48:12
23,"Win #SamsungM31S in @gadgetstouse giveaway, first watch this video at https://t.co/HPqiOhvkDu - Like, Share and Com… https://t.co/JZgviPJ18h",Hello,2020-08-01 23:48:12
24,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,zya⁷😏😏😏,2020-08-01 23:48:06
25,RT @u4eakooks_net: yoongi's samsung phone is the only one not blurred 😆😆😆 https://t.co/x6xGop8uPX,elle⁷🐇,2020-08-01 23:48:05
26,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",Vikingo negro,2020-08-01 23:48:03
27,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",𝖀𝖒𝖆𝖎𝖗 𝕬𝖇𝖉𝖚𝖑𝖑𝖆𝖍,2020-08-01 23:48:00
28,OnePlus Leads Premium Smartphone Segment in India in Q2 2020: Counterpoint https://t.co/pUzZx4Wh49,leafypage,2020-08-01 23:47:47
29,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,𝑩𝒓𝒊𝒔𝒆𝒊𝒔 回𖧵⁷ • Bri is sick,2020-08-01 23:47:46
30,@RecordingAcad @bts_bighit Yes! BTS has helped the economy in korea tremendously. They have also helped brands such… https://t.co/xIFb4W1HUu,⟭⟬🅷🅾🅿🅴🌞🆆🅾🆁🅻🅳⟬⟭⁷𖧵,2020-08-01 23:47:34
31,"@mor10 @fitbit @FitbitSupport @mor10 , samsung galaxy watch.  @fitbit is trash. There company sucks, support is abs… https://t.co/bJqNV3gwtx",Brad Howe,2020-08-01 23:47:26
32,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,em⁷🌱📼,2020-08-01 23:47:24
33,New post: Samsung Galaxy Note20 case renders surface https://t.co/FoNJxNwi3t,Telecoms News UK,2020-08-01 23:47:09
34,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,👽💜 ⟬⟭ MARTIAN ⁷ ⟭⟬,2020-08-01 23:47:04
35,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",Sochima,2020-08-01 23:47:00
36,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,💜 Dι⁷🇲🇽 ⟭⟬,2020-08-01 23:47:00
37,"RT @Ronald_vanLoon: Samsung's new #AI #technology brings photos to life
by @trtworld

#ArtificialIntelligence #Tech #IT

Cc: @andy_fitze @v…",Yelli Yoselino,2020-08-01 23:46:48
38,@Hipotential @samsung_dev yeah im not pumped about the supply and what governance is doing to curb it. the reality… https://t.co/ESCHSbS9NW,Matthew Fetzer,2020-08-01 23:46:44
39,"#AFFILIATE “Filofax” at https://t.co/DfPGUFTlWP: Filofax has the largest range of personal organizers, diary refill… https://t.co/Wf1nYvDxGY",ParnellServices.Com,2020-08-01 23:46:44
40,"Personalized Floral Wallet Phone Case, Floral Print Rose Flower Pink Custom Name Best Mom iPhone Samsung Wallet Case https://t.co/tjqTTmHBjV",heidikimurart,2020-08-01 23:46:38
41,"RT @SamsungMobile: App Pair and Multi Active Windows let you do more, all at once, on the #GalaxyZFlip 5G. Learn more: https://t.co/KFghn4C…",黃曉雯,2020-08-01 23:46:34
42,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",Carlos Estrada,2020-08-01 23:46:31
43,"Snapdragon Samsung Galaxy Note 20 Ultra spotted on Geekbench https://t.co/AdPpWyMPaP 

At least Canadian customers… https://t.co/5uqjEfzD2M",ReaktorField,2020-08-01 23:46:24
44,"RT @btstranslation7: saw this while going back home😇

""kim seokjin (@bts_twt jin)
1992.12.04 -

because his face is so good looking
[his pi…",Daniela Velazquez,2020-08-01 23:46:18
45,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,ʸᵒᵒⁿᵍⁱ_⟭⟬ ⟬⟭_ ᵇᵗˢ ₇,2020-08-01 23:46:13
46,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",Mykii,2020-08-01 23:46:10
47,"Apple Suppliers, Samsung Apply for Government’s PLI Scheme https://t.co/BhmrY6EFz1",Hodu News,2020-08-01 23:46:03
48,"Printer Cable 25 ft, SNANSHI USB Printer Cable 25 Foot USB 2.0 Type A Male to Type B Male Printer Scanner Cable for… https://t.co/sa1zOY94O5",Jessica Boston,2020-08-01 23:46:02
49,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",Jamal,2020-08-01 23:46:01
50,RT @danharris: Japan and Korea and the EU and pretty much everyone are doing what they can to get the hell out of China before things get e…,VietNamstockeXchange,2020-08-01 23:45:57
51,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,Elena⁷,2020-08-01 23:45:56
52,RT @danharris: Japan and Korea and the EU and pretty much everyone are doing what they can to get the hell out of China before things get e…,HANOI STOCK EXCHANGE,2020-08-01 23:45:55
53,Upgraded Car Cup Holder Phone Mount Adjustable Gooseneck Phone Holder for Car Compatible with Phone case and iPhone… https://t.co/qPyWqicla5,Evelyn Destin,2020-08-01 23:45:43
54,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",MickySea,2020-08-01 23:45:40
55,@portallouisbr @965TDY @Louis_Tomlinson I followed @965TDY and vote Louis Tomlinson (@Louis_Tomlinson) for… https://t.co/DIgpucHmQ0,/H/✨,2020-08-01 23:45:39
56,Best Android tablets in 2020: Look no further than the Samsung Galaxy and Amazon Fire tablets - ZDNet… https://t.co/gmuZmbY1QE,9wireless,2020-08-01 23:45:33
57,RT @rudhranandu: The official render image of Galaxy Z Fold 2 is here seems that the single punch hole camera full view display and I am su…,💎,2020-08-01 23:45:29
58,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",Muhammad Rahadian,2020-08-01 23:45:28
59,@DefaltEVM Samsung makes very good phones,Clone's Water Review Fan #35686209,2020-08-01 23:45:22
60,"@wesjoke Currently, only Samsung Smart TV's made in 2018 or later support Prime Video profiles. ^DAS",Amazon Help,2020-08-01 23:45:13
61,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",Mallam Issa,2020-08-01 23:45:10
62,"GETIHU Car Phone Mount, 360° Dashboard Phone Holder for Car, Universal Magnetic Cell Phone Car Holder GPS, Compatib… https://t.co/DYRC9dFdPW",Bambi Bailey,2020-08-01 23:45:09
63,"Liked on YouTube: Samsung Galaxy S20 Ultra - 3 Things To Know https://t.co/wg6vMpZg5h https://t.co/s4iOVfRPRU

#BTS… https://t.co/0hFTQgEwB9",𝙒𝙃𝙄𝙏𝙀𝙎𝙏𝙊𝙉𝙀𝘿𝙊𝙈𝙀_𝙐𝙆,2020-08-01 23:45:02
64,RT @FrontalAssault1: Just In: Samsung to halt PC production in China in latest blow to manufacturing sector in China.,Sanjeet Bhalothia,2020-08-01 23:44:59
65,"@SamsungMobile @samsung ever since my phone had a software update, my battery usage is hugely higher, I have no new… https://t.co/lalaIi9o6D",Jason,2020-08-01 23:44:45
66,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,𝓪𝓻𝓲𝓪𝓷𝓮 𝓶𝓪𝓮,2020-08-01 23:44:42
